title,text,category,url
«Для них это проект бессмертия» Миллиардеры из Китая заводят множество детей. Что ими движет и как это связано с Илоном Маском?,"Китайские миллиардеры стали стремиться к созданию больших семей. В стране рожать более трех детей сейчас нельзя, но вот запрета заводить их за пределами КНР не существует. Поэтому богачи — как, например, глава компании Duoyi Network Сюй Бо — ищут для своих целей суррогатных матерей по всему миру, а согласившихся женщин отправляют на процедуру вСША. СудыЛос-Анджелесатакой подход к суррогатному материнству не поддерживают, но на момент появления споров многие успевают обзавестись уже десятками детей. Что движет бизнесменами в таких историях и почему эксперты видят в этом опасный симптом — в материале «Ленты.ру».Среди миллиардеров в Китае возник тренд на многодетностьСреди миллиардеров в Китае наметился тренд на многодетность,выяснилThe Wall Street Journal (WSJ). Приверженцы таких взглядов не становятся донорами спермы, какПавел Дуров, и не заводят по несколько детей от разных жен, какИлон Маск. Китайские богачи используют для этого процедуру суррогатного материнства, вокруг которой уже выстроилась целая индустрия в США.Издание рассказывает историю Сюй Бо — руководителя китайской компании Duoyi Network, занимающейся производством видеоигр. К самым известным ее разработкам относится приключенческая многоуровневая игра Gunfire Reborn, фэнтезийная Eternal Magic, многопользовательская Portal Knights Online — песочница с элементами Minecraft и Lego.Сюй БоФото: BaiduО главе компании известно немного — он ведет закрытый образ жизни и редко дает интервью. Но некоторые детали все же просачиваются в прессу. В 2020 году китайские изданияписалио необычных тестах, при помощи которых Сюй Бо проверяет своих сотрудников. Тогда, к примеру, им предлагали отказаться от 10 процентов своих зарплат, чтобы продемонстрировать лояльность начальству. И это не было связано с финансовыми сложностями: дела у разработчика шли хорошо. В беседе с журналистами работники признались — подобные эксперименты в компании устраивают каждый год.Сотрудники привыкли к необычным идеям своего босса и с легкостью откликаются на них. Такой подход для них выгоден — готовность принять предложенные правила игры в Duoyi Network поощряют. В 2019-м, к примеру, разработчик предложил команде выплатить из своих зарплат премию главе компании. Размеры выплат их попросили определить самостоятельно, по возможностям и желанию. Уже в следующем месяце Duoyi Network вернула работникам эти перечисления, десятикратно увеличив каждое из них.Необычные идеи движут Бо и в личной жизни. Так, в 2023 году предприниматель попытался отстоять в суде Лос-Анджелеса свои права на родительство. На заседании шла речь о еще нерожденных детях: четыре младенца в скором времени должны были появиться на свет. Суду при этом были предоставлены документы, из которыхстановилосьясно — у мужчины уже есть как минимум восемь детей, рожденных суррогатными матерями.Материалы по теме:Павел Дуров заявил, что у него 100 биологических детей. Как это возможно и зачем это основателю Telegram?30 июля 2024Илон Маск стал отцом в одиннадцатый раз. Кто мать ребенка и зачем миллиардеру столько детей?24 июня 2024На одно из заседаний по признанию отцовства удалось попасть журналистке WSJ. Руководитель Duoyi Network, на постоянной основе живущий в Китае, присутствовал на нем в формате видеозвонка. В ответ на вопросы судьи Сюй Бо признался, что рассчитывает стать отцом не менее двух десятков детей, которые из-за ограничений, введенных на территории Китая, должны будут появиться на свет в США. Миллиардер был заинтересован в том, чтобы от него рождались в первую очередь мальчики — им он рассчитывает в дальнейшем передать свой бизнес.Уже рожденные малыши пока живут вгороде Ирвайн(располагается в округе Ориндж в южной части Калифорнии) и находятся под присмотром нянь. Сам Сюй еще не нашел времени для встречи с ними из-за рабочей занятости, но в ближайшем будущем рассчитывает перевезти их в Китай, пояснил он на судебном заседании. Ходатайство о родительских правах суд отклонил, но в скором времени былиобнародованыдругие, еще более неожиданные детали.Близкие Сюй Бо подтвердили наличие у него сотни детейВ процессах с участием Сюй Бо фигурирует его бывшая девушка Тан Цзин. Пара была вместе 14 лет, с 2009 по 2023 год, а после расставания китайский миллиардеробратилсяв суд с иском о взыскании с экс-возлюбленной задолженности в размере 300 миллионов юаней. Всего за время их отношений мужчина одолжил своей пассии 819 миллионов юаней, из которых она вернула около 500. Оставшуюся сумму глава Duoyi Network решил взыскать через суд.Тан ЦзинФото: BaiduВозвращать долг экс-сожительница миллиардераотказалась. Средства были потрачены на заботу о большой семье, о создании которой так мечтал Сюй, пояснила она. На данный момент девушка воспитывает 11 его детей и через суд пытается отстоять право опеки над двумя малышами, рожденными ею от экс-партнера. На китайском сервисе микроблогов Weibo Тан Цзин написала, что ее бывший парень является отцом 300 детей по всему миру, большая часть из которых не имеет регистрации по месту жительства.300миллионов юанейхотел взыскать Сюй Бо через суд с бывшей партнерши, воспитывающей его детейСудебный орган принял сторону женщины,пишетSouth China Morning Post. Компания Duoyi Network оставила под постом в Weibo свой комментарий, в котором опровергла цифру в три сотни детей, ноподтвердила, что порядка сотни детей действительно были рождены от Сюй Бо суррогатными матерями. Сделано это было «после множественных усилий», отметили там.Кадр из видео с предполагаемыми детьми Сюй БоКадр: BaiduМиллиардер грезит о том, что в будущем его дети породнятся с детьми Илона Маска и создадут большую семейную династию. Своими фантазиями мужчина также делился в Weibo — посты из прошлого (опубликованные, по некоторым данным, с принадлежащих ему аккаунтов)попалисьна глаза журналистам уже после появления данных о многочисленных судах. Минимально возможное число своих наследников мужского пола Сюй Бо оценивал в 50 человек, подчеркивая, что хочет быть отцом «сыновей высокого качества».Глава Duoyi Network положительно относится к полигамным отношениям и призывает женщин рожать «больше детей». Партнерш для этих целей он в том числе находит в соцсетях. В самом Китае суррогатное материнствозапрещенозаконом (хотя подпольные организации такой направленности там периодически всплывают), но ничего не мешает гражданам КНР для получения подобной услуги выехать за пределы страны.В суде Лос-Анджелеса амбициозные планы Сюй Бо не нашли понимания. Суррогатное материнство — это инструмент, помогающий парам создавать семьи, но подход, при котором детей держат «на расстоянии», а их воспитанием занимаются специально нанятые люди, говорит совсем о другом,заметилсудья Эми Пеллман. Из-за отказа суда установить отцовство, несколько малышей, рожденных от Бо, сейчас остаются в правовой неопределенности.Илон Маск рождение «легиона» наследников объяснил заботой о цивилизацииУ Илона Маска свой взгляд на идею рождения наследников (и свой, соответственно, к этому подход). Цивилизация находится под угрозой из-за сокращения численности населения,считаетпредприниматель. Своих детей он называет «легионом» и верит, что рождение как можно большего числа младенцев поможет спасти планету от апокалипсиса. Для Маска важно, чтобы его дети обладали высоким интеллектом, поэтому он старается подбирать подходящих по всем параметрам партнерш.Фото: Samuel Corum / Getty ImagesДетей у миллиардера, по официальнымданным, всего 14, а рождены они от четырех женщин, с которыми Маск встречался в разное время. В числе его бывших пассий — канадская певица Граймс и директор по операциям компании Neuralink Шивон Зилис. В реальности у основателяTeslaнамного больше детей, чем известно широкому кругу, говорят близкие к нему источники.Он хочет, чтобы у умных людей чаще рождались дети, поэтому обратился ко мне с этой идеей. Я не могу представить себе лучшие гены, которые предпочла бы для своих детейШивон Зилисдиректор по спецпроектам компании NeuralinkМногие отказываются от продолжения рода из-за растущего экономического неравенства и экологических проблем,рассуждалМаск на мероприятии The Wall Street Journal в конце 2021 года. «Но если люди не будут заводить больше детей, цивилизация рухнет», — высказал он тогда свои опасения. Еще один подобный тезис миллиардер озвучил на политическом фестивале Arteju в 2023 году. Обратившись к присутствовавшим там политикам, основатель Tesla и Space Xпризвалих начать активнее работать над увеличением рождаемости в своих странах.Илон Маск и Шивон Зилис с детьмиФото: @mayemuskМатерей для своих детей предприниматель ищет в том числе в принадлежащей ему соцсети X,говорятисточники WSJ. Недавно родившая от него консервативная активистка Эшли Сент-Клэр в беседе с журналистамирассказала, что Маск в своих письмах к ней признавался — для создания «легиона» ему приходится использовать механизм суррогатного материнства.В дальнейшем миллиардер предлагает девушкам подписать договор о молчании, добавила Сент-Клэр. Им предлагается скрывать имя отца своего ребенка до тех пор, пока ему не исполнится 21 год. В обмен (при отсутствии критических высказываний в свой адрес) миллиардер готов выплатить стороне договора 15 миллионов долларов, а еще по 100 тысяч долларов присылать ежемесячно, утверждает девушка.15миллионов долларовготов заплатить Маск матерям своих детей за сохранение личности отца в секретеДетали договора, по данным западных СМИ, выглядели максимально прагматично. В нем не учитывалась поддержка ребенка на случай серьезной болезни, или страхование жизни на случай, если до исполнения ему 21-го года умрет сам Маск. Подробно ознакомившись с документом, Сент-Клэр подписывать его отказалась. Но согласилась не включать имя миллиардера в свидетельство о рождении сына Ромула.При этом утверждать, что о рожденных детях Маск совсем не думает, было бы неверно: по данным The New York Times, предпринимательсобиралсяоткрыть в столице Техаса семейный комплекс, где вместе с мамами будут жить рожденные от него малыши. Первыми шагами в этом направлении, по сведениям журналистов,сталакупленная основателемSpaceXвилла, и расположенный рядом с ней особняк, насчитывающий шесть спален.Фото: Jayakri / Shutterstock / FotodomНовостями о наличии у него более 100 биологических детей в 12 странахудивилобщественность в июле 2024 года и основатель Telegram Павел Дуров. Это стало возможным благодаря донорству спермы, пояснил он. Сначала бизнесмен принял участие в этой процедуре по просьбе друга, который не мог иметь детей. Активнее вовлечься в донорство его уже уговорил руководитель клиники: «материал высокого качества» очень редок, объяснил тот. К 2024 году количество пар, которым миллиардер помог завести детей, перевалило за сотню, утверждает Дуров. Он говорит, что не сдает сперму уже долгие годы, но где-то еще хранится его замороженный генетический материал.Однако в преддверие 2026 года бизнесмен вновь проявил себя в этом направлении. Женщинам, желающим родить от него ребенка, Дуров, поданнымThe Wall Street Journal, пообещал оплатить процедуру экстракорпорального оплодотворения (ЭКО). Девушке для этого нужно соответствовать двум характеристикам: быть моложе 37 лет и не состоять в браке. Данную программу основатель Telegram запустил совместно с одной из московских клиник. Миллиардер предположил, что когда-то, «может быть, через 30 лет», сможет предоставить всем своим биологическим детям право на наследство.Эксперты связывают такой подход с иллюзией управляемости«Когда я слышу про ""сотню детей ради династии"", то думаю не столько про детей, сколько про проект бессмертия», — заметил в беседе с «Лентой.ру» психологРодион Чепалов. В психологии, по его словам, это хорошо ложится на два аспекта. Первый — это стремление человека к символической неуязвимости, когда тревогу о конечности жизни пытаются победить масштабом числа рожденных детей. Второй — теория генеративности по Эриксону, когда желание оставить след приобретает гипертрофированный, почти «корпоративный» формат. Такой подход превращает семейную линию в холдинг, который надо укрепить и развить, рассуждает психолог.Фото: Andrew Harnik / Getty ImagesУ многих успешных предпринимателей мышление устроено специфическим образом, присоединяется к обсуждению индивидуальный и корпоративный психолог Елена Пичугина. Для них характерны высокий уровень готовности к риску, ориентация на долгосрочное планирование, склонность к масштабированию, привычка смотреть на мир через призму проектов. Такой подход может не ограничиваться сферой бизнеса и проецироваться на другие значимые области, включая семью.Когда человек создал и вывел на рынок одну компанию, логичной стратегией является создание целого портфеля компаний. И если ценность семьи и наследников для предпринимателя высока, соблазн масштабирования может возникнуть у него и там. Тогда речь будет идти о создании не просто семьи, а многочисленного семейного кланаЕлена Пичугинаиндивидуальный и корпоративный психологСоздание множества наследников можно рассматривать и как стратегию «диверсификации», допускает Пичугина. Рождение множества наследников от разных женщин — это рациональная, хотя и непривычная для большинства, модель преодоления неопределенности. Распределение капитала между большим количеством детей для бизнесменов может быть способом повысить устойчивость семейной корпорации в будущем. А привычность миллиардеров к глобальным последствиям своих бизнес-ходов (влияние на тысячи сотрудников, клиентов) — снижать психологические барьеры перед принятием столь же масштабных решений в личной сфере.В культуре подобные сюжеты вечны, напоминает Чепалов. Они встречаются в рассказах о царских династиях с гаремами и рождением наследников «любой ценой» (в том числе от наложниц), в мифе о Пигмалионе, где мужчина создает статую женщины, влюбляется в нее и оживляет. В последнем случае человек начинает воспринимать живое существо как созданный им артефакт, отмечает собеседник. Экологичность и этичность подобных подходов каждый определяет для себя сам, подчеркивает он.Рожденным в такой парадигме детям может не хватать любвиПомимо практических мотивов, людьми может двигать иллюзия управляемости. «Деньги приучают их, что почти все можно ускорить, купить, оптимизировать. Ребенок, который рождается у родителя с таким мировоззрением, рискует стать не объектом любви, а подтверждением могущества родителя», — предупреждает Чепалов.Фото: Natalie Zepp Photography / Shutterstock / FotodomДругим возможным мотивом психолог называет статусность. Богатые люди, на его взгляд, тем самым могут демонстрировать: у них есть то, что недоступно большинству. Однако малыш, родившийся у родителя с такой мотивацией, может расти несчастным. «В определенных кругах большая семья сама по себе становится маркером успеха и состоятельности, свидетельством способности обеспечить будущее многим потомкам, — солидарна с коллегой Пичугина. — Это новый экстравагантный способ сигнализировать о своих ресурсах и долгосрочных амбициях».Последний мотив, который упоминает Чепалов, — это мотив тревожный (и он, судя по описанию, похож на мотивацию, которой движим Илон Маск). «Миллиардер в таком случае может рассуждать по принципу — ""мир нестабилен — пускай родится много запасных вариантов"" (детей). Это звучит жестко, но так иногда устроено мышление в условиях высокого контроля и высокой ставки», — заключает эксперт. Какими в таких условиях будут расти дети — вопрос, к сожалению, уже риторический, разводит руками он.Людям, чья идентичность построена вокруг создания и роста масштабных проектов, такая модель может казаться внутренне последовательной и рациональной, объясняет логику их мышления Пичугина. Обществу и психологам, по ее мнению, предстоит не просто дать оценку этому явлению, но и осмыслить его долгосрочные последствия.",economics,https://lenta.ru/articles/2026/01/17/china/
Постсоветская страна столкнулась с обрушением экспорта,"В 2025 годуКиргизиястолкнулась с падением экспорта на 43,5 процента, если сравнивать с позапрошлым годом. Это подсчитали специалисты министерства экономики и коммерции этой постсоветской страны. Их выводы процитировалоРИА Новости.Экспорт товаров ведомство оценило в 2,6 миллиарда долларов. Если не учитывать золота, то соответствующий показатель упал на 19,7 процента и достиг 1,9 миллиарда. Одной из причин снижения поставок на внешний рынок называют падение спроса со стороны ключевых партнеров республики: России иКазахстана.«Объем внешнеторгового оборота за январь-ноябрь 2025 года составил 14 миллиардов долларов и по сравнению с соответствующим периодом 2024 года снизился на 12,2 процента. В структуре товарооборота на долю экспорта пришлось 18,5 процента, импорта — 81,5 процента», — констатировало министерство.Между тем, по данным ведомства, объем импорта сложился на уровне 11,4 миллиарда долларов США и увеличился по сравнению с соответствующим периодом 2024 года на 0,5%.Наибольшая доля взаимной торговли Киргизии с государствами — членамиЕвразийского экономического союзав январе-ноябре 2025 года пришлась на Россию (64,1 процента) и Казахстан (33,5 процента).Ранеесообщалось, что в 2025 году Киргизия на 7,2 процента увеличила закупки в России мяса и субпродуктов птицы. Соответствующий показатель вырос до 15 тысяч тонн. Кроме того, на 23,8 процента (до 11,4 тысячи тонн) увеличились поставки российской молочной продукции.",economics,https://lenta.ru/news/2026/01/22/postsovetskaya-strana-stolknulas-s-obrusheniem-eksporta/
Москвичей предупредили о сильных снегопадах,"В конце января вМосквеожидаются сильные снегопады. Об этом жителей столицы предупредил специалист прогностического центра «МЕТЕО»Александр Ильин. Его прогнозпубликуетRTVI.«Местами [на следующей неделе] будут идти достаточно сильные снегопады», — сообщил синоптик. По его данным, снег, который обрушится на западные и северо-западные районы города в понедельник, 26 января, также затронет Московскую область.Кроме того, метеоролог предупредил о вероятности потепления до нуля градусов. Такой прогноз ожидается в среду, 28 января. В это время может пойти мокрый снег и местами даже ледяной дождь.Ранее научный руководитель Гидрометцентра РоссииРоман Вильфандобъяснилразницу температур в центре Москвы и пригороде. Отмечается, что различие может достигать 10-15 градусов. В столице может быть значительно теплее из-за большого количества высоток, которые обогреваются центральным отоплением, пояснил он.",economics,https://lenta.ru/news/2026/01/22/moskvichey-predupredili-o-silnyh-snegopadah/
Сбер представил первого в России ИИ-агента для анализа бизнес-процессов,"В 2026 годуСбервыведет на рынок уникального ИИ-агента для платформы Process Mining, который самостоятельно проводит полный цикл анализа бизнес-процессов. Об этом заместитель председателя правления СбербанкаТарас Скворцоврассказал на конференции Sber Process Mining Conf 2026.Агент, представленный в ноябре 2025 года на международной конференции AI Journey, способен анализировать до сотен миллионов событий в месяц. Он формирует готовый отчет с гипотезами и рекомендациями, что позволяет проводить анализ в любое время и с любой периодичностью.Тарас Скворцов подчеркнул, что ИИ-агент не заменяет специалиста, а становится его помощником, сокращая время аналитика на обработку информации в четыре раза. По его словам, пользователю достаточно загрузить данные и сформулировать задачу на естественном языке, после чего система самостоятельно рассчитает ключевые показатели, проверит десятки гипотез о неэффективностях и выявит их корневые причины.«Наш ИИ-агент — это новый виток эволюции Process Mining», — отметил заместитель председателя правления Сбербанка Тарас Скворцов. Он пояснил, что команда разработала и внедрила первого в России ИИ-агента такого профиля, который находит скрытые взаимосвязи в данных и генерирует обоснованные гипотезы.Скворцов добавил, что специалист теперь фокусируется на интерпретации выводов и принятии решений. Он выразил уверенность, что широкое применение решения, запущенного внутри Сбера в 2025 году, кардинально изменит процессную аналитику в стране и сделает ее доступной компаниям любого масштаба.Конференция Sber Process Mining Conf 2026 проходит вМоскве. Участники обсуждают, как искусственный интеллект меняет процессную аналитику. Кейсами применения Process Mining делятся эксперты из«Аэрофлота», «МегаФона»,«Норникеля», правительства Липецкой области и других компаний.",economics,https://lenta.ru/news/2026/01/22/sber-predstavil-pervogo-v-rossii-ii-agenta-dlya-analiza-biznes-protsessov/
Рост стоимости подарков для учителей признали недопустимым,"Правительство не поддержало законопроект депутатовГосдумыоб увеличении лимита на подарки для учителей, медиков и работников организаций, оказывающих социальные услуги. Об этом со ссылкой на заключение кабмина пишетРИА Новости.Автораминициативывыступили глава комитета Госдумы по труду, социальной политике и делам ветерановЯрослав Нилови первый зампред комитета Госдумы по защите семьи, вопросам отцовства, материнства и детстваТатьяна Буцкая. Они предлагали увеличить максимальную сумму с 3 до 10 тысяч рублей.В разговоре с агентством Нилов напомнил, что в стране регулярно индексируются пенсии и социальные выплаты, но не финансовый порог возможных подарков, установленный почти 20 лет назад в рамках мер по предупреждению коррупции.По словам депутата, с учетом инфляции в указанную сумму уже не всегда вписывается традиционный букет цветов, который дарят в знак благодарности или в день профессионального праздника. «И что, унижаться и прикладывать к букету чек, чтобы одариваемого не уличили в получении взятки?» — возмутился Нилов.Ранее заместитель председателя Общероссийского профсоюза образованияМихаил Авдеенкообъяснил, что дороже трех тысяч рублей подарок учителю не может быть даже от имени всего класса, вне зависимости от того, сколько человек на него скидывались. При этом дарить педагогу деньги также запрещено.",economics,https://lenta.ru/news/2026/01/22/oboydutsya/
В России резко вырос объем биржевых торгов серебром,"Среднедневной объем торгов серебром в сделках спот на рынке драгметалловМосбиржирезко вырос в первую рабочую неделю января, достигнув максимальных за все время 5,4 тонны, хотя, например, в 2025 году показатель составлял 1,3 тонны. Об этом со ссылкой на данные российской площадки сообщает«Интерфакс».Отмечается, что за первые десять торговых дней января совокупный объем указанных торгов составил 43 тонны, тогда как по итогам всего первого месяца 2025 года показатель оказался вдвое меньшим. В денежном выражении к прошлому январю объем торгов серебром на Мосбирже вырос в четыре раза, до 9,4 миллиарда рублей, говорится в публикации.Серебро, как и золото, в начале года продолжает бить рекорды стоимости, обновляя исторические максимумы почти в ежедневном режиме. Еще в сентябре унция серебра стоила 43 доллара, к декабрювырослав цене до 65 долларов, а 20 январяподнималасьвыше 95 долларов. К моменту написания материала показатель в рамках торгового дня рос на 1,06 процента, до 93,62 доллара.В целом объем торгов на срочном рынке Мосбиржи вырос в 2025 году на 45 процентов, до 145,2 триллиона рублей, в том числе на 80 процентов, до 25,2 триллиона,увеличилсяпоказатель торгов производными инструментами на драгоценные металлы.",economics,https://lenta.ru/news/2026/01/22/v-rossii-rezko-vyros-ob-em-birzhevyh-torgov-serebrom/
Лукашенко призвал «делать все самим»,"Все необходимое для страны нужно производить собственными силами, а не прибегать к импорту. Об этом заявил президентБелоруссииАлександр Лукашенко, его слова приводитРИА Новости.На церемонии вручения дипломов доктора наук и аттестатов профессора, которая прошла во Дворце Независимости вМинске, глава государства напомнил о важности развития различных отраслей — чтобы «нация была здоровой, одетой, накормленной».«Все у нас для этого есть, и даже больше того. Будем ориентироваться на то, чтобы создавать новые производства.<...> Все мы можем. Только надо понимать, что мы это должны делать прежде всего сами», — призвал он.Лукашенко подчеркнул, что не против конкуренции. Однако все необходимое должны изготавливать на территории страны своими руками. Те вещи, которых не хватит, уже можно импортировать.Днем ранее президент Белоруссииобязалруководство автомобильной компании Belgee («Белджи») разработать легковой автомобиль со стопроцентной отечественной локализацией. Он подчеркнул, что это необходимое условие для развития, и потребовал ставить такую задачу перед всеми ответственными специалистами.",economics,https://lenta.ru/news/2026/01/22/lukashenko-prizval-delat-vse-samim/
В российском регионе зафиксировали 56-градусные морозы,"ВБурятиистоят почти 60-градусные морозы. Об этом в своемTelegram-канале рассказал глава республикиАлексей Цыденов.В селе Тохорюкта Хоринского района столбики термометров достигли отметки в минус 56 градусов. Ранее республиканские синоптики прогнозировали аномально-холодную погоду без осадков. В ночные часы в целом по региону температура варьировалась от минус 37 до минус 42 градусов. В Прибайкалье показатели составляют от минус 29 до минус 34 градусов.В конце декабря 55-градусные морозынаблюдалисьв Якутии. Ниже 40 градусов температура упала также в Амурской области, Хабаровском крае и Магаданской области. В середине января 50-градусные морозыударилипо Красноярскому краю.Вгороде ТулунИркутской области 50-градусный морозне выдержалиместные теплотрассы. За пару дней на теплосетях в городе произошло семь порывов.",economics,https://lenta.ru/news/2026/01/22/buryatiya-temp/
